activity_id,account_id,rep_id,activity_type,activity_date
AC0000001,A00004,rep_020,Email,2025-03-05
AC0000002,A00029,rep_014,Call,2025-08-03
AC0000003,A00151,rep_019,Meeting,2024-04-12
AC0000004,A00028,rep_019,Meeting,2024-10-19
AC0000005,A00138,rep_012,Demo,2024-09-27
AC0000006,A00099,rep_016,Email,2025-04-29
AC0000007,A00010,rep_006,Call,2024-05-27
AC0000008,A00159,rep_020,Meeting,2025-02-15
AC0000009,A00010,rep_013,Demo,2024-12-05
AC0000010,A00177,rep_008,Call,2025-05-01
AC0000011,A00069,rep_012,Call,2024-11-06
AC0000012,A00080,rep_009,Demo,2025-12-13
AC0000013,A00176,rep_004,Follow-up,2024-08-21
AC0000014,A00035,rep_010,Follow-up,2025-03-29
AC0000015,A00199,rep_011,Call,2025-03-02
AC0000016,A00155,rep_003,Call,2024-08-04
AC0000017,A00105,rep_016,Meeting,2025-01-17
AC0000018,A00015,rep_017,Meeting,2024-03-08
AC0000019,A00080,rep_017,Email,2025-06-20
AC0000020,A00146,rep_001,Call,2024-07-24
AC0000021,A00015,rep_008,Call,2024-02-21
AC0000022,A00093,rep_007,Call,2025-04-20
AC0000023,A00130,rep_013,Email,2024-05-06
AC0000024,A00175,rep_001,Call,2025-05-15
AC0000025,A00153,rep_015,Call,2025-04-30
AC0000026,A00151,rep_018,Email,2024-06-16
AC0000027,A00067,rep_003,Call,2025-01-30
AC0000028,A00013,rep_006,Demo,2024-08-07
AC0000029,A00057,rep_008,Meeting,2024-10-02
AC0000030,A00167,rep_014,Email,2025-11-29
AC0000031,A00003,rep_016,Follow-up,2025-10-24
AC0000032,A00045,rep_020,Demo,2024-08-17
AC0000033,A00065,rep_020,Demo,2024-11-08
AC0000034,A00183,rep_009,Email,2025-01-20
AC0000035,A00090,rep_015,Call,2025-04-22
AC0000036,A00078,rep_017,Demo,2025-02-10
AC0000037,A00150,rep_004,Call,2025-11-09
AC0000038,A00096,rep_018,Email,2025-09-15
AC0000039,A00073,rep_010,Meeting,2025-05-08
AC0000040,A00017,rep_011,Follow-up,2025-10-17
AC0000041,A00084,rep_009,Call,2025-12-29
AC0000042,A00167,rep_010,Call,2025-06-13
AC0000043,A00196,rep_008,Demo,2025-09-06
AC0000044,A00104,rep_011,Meeting,2024-01-27
AC0000045,A00168,rep_016,Follow-up,2024-09-22
AC0000046,A00108,rep_013,Email,2024-02-06
AC0000047,A00150,rep_019,Demo,2024-12-17
AC0000048,A00186,rep_008,Meeting,2025-10-15
AC0000049,A00122,rep_012,Email,2024-06-23
AC0000050,A00169,rep_018,Call,2024-04-09
AC0000051,A00121,rep_005,Meeting,2025-07-26
AC0000052,A00196,rep_006,Follow-up,2024-12-09
AC0000053,A00168,rep_003,Call,2024-08-16
AC0000054,A00191,rep_010,Email,2024-12-05
AC0000055,A00096,rep_009,Email,2025-04-19
AC0000056,A00031,rep_016,Call,2025-10-11
AC0000057,A00150,rep_019,Follow-up,2024-03-13
AC0000058,A00121,rep_007,Email,2025-11-28
AC0000059,A00098,rep_017,Call,2024-02-25
AC0000060,A00039,rep_005,Follow-up,2024-12-16
AC0000061,A00105,rep_019,Demo,2025-04-13
AC0000062,A00037,rep_011,Demo,2024-07-03
AC0000063,A00200,rep_003,Email,2025-10-08
AC0000064,A00046,rep_011,Email,2024-01-05
AC0000065,A00116,rep_009,Call,2024-06-21
AC0000066,A00148,rep_006,Email,2024-03-31
AC0000067,A00034,rep_020,Email,2025-03-15
AC0000068,A00104,rep_014,Follow-up,2025-01-27
